# Generated from glyphlist.txt available from
# http://partners.adobe.com/asn/developer/typeforum/unicodegn.html
#
A,41
nieunaparenkorean,320f
nieuncieuckorean,3135
nieuncirclekorean,3261
nieunhieuhkorean,3136
nieunkorean,3134
nieunpansioskorean,3168
nieunparenkorean,3201
nieunsioskorean,3167
nieuntikeutkorean,3166
nihiragana,306b
nikatakana,30cb
nikatakanahalfwidth,ff86
nikhahitleftthai,f899
nikhahitthai,e4d
nine,39
ninearabic,669
ninebengali,9ef
ninecircle,2468
ninecircleinversesansserif,2792
ninedeva,96f
ninegujarati,aef
ninegurmukhi,a6f
ninehackarabic,669
ninehangzhou,3029
nineideographicparen,3228
nineinferior,2089
ninemonospace,ff19
nineoldstyle,f739
nineparen,247c
nineperiod,2490
ninepersian,6f9
nineroman,2178
ninesuperior,2079
nineteencircle,2472
nineteenparen,2486
nineteenperiod,249a
ninethai,e59
nj,1cc
njecyrillic,45a
nkatakana,30f3
nkatakanahalfwidth,ff9d
nlegrightlong,19e
nlinebelow,1e49
nmonospace,ff4e
nmsquare,339a
nnabengali,9a3
nnadeva,923
nnagujarati,aa3
nnagurmukhi,a23
nnnadeva,929
nohiragana,306e
nokatakana,30ce
nokatakanahalfwidth,ff89
nonbreakingspace,a0
nonenthai,e13
nonuthai,e19
noonarabic,646
noonfinalarabic,fee6
noonghunnaarabic,6ba
noonghunnafinalarabic,fb9f
nooninitialarabic,fee7
noonjeeminitialarabic,fcd2
noonjeemisolatedarabic,fc4b
noonmedialarabic,fee8
noonmeeminitialarabic,fcd5
noonmeemisolatedarabic,fc4e
noonnoonfinalarabic,fc8d
notcontains,220c
notelement,2209
notelementof,2209
notequal,2260
notgreater,226f
notgreaternorequal,2271
notgreaternorless,2279
notidentical,2262
notless,226e
notlessnorequal,2270
notparallel,2226
notprecedes,2280
notsubset,2284
notsucceeds,2281
notsuperset,2285
nowarmenian,576
nparen,24a9
nssquare,33b1
nsuperior,207f
ntilde,f1
nu,3bd
nuhiragana,306c
nukatakana,30cc
nukatakanahalfwidth,ff87
nuktabengali,9bc
nuktadeva,93c
nuktagujarati,abc
nuktagurmukhi,a3c
numbersign,23
numbersignmonospace,ff03
numbersignsmall,fe5f
numeralsigngreek,374
numeralsignlowergreek,375
numero,2116
nun,5e0
nundagesh,fb40
nundageshhebrew,fb40
nunhebrew,5e0
nvsquare,33b5
nwsquare,33bb
nyabengali,99e
nyadeva,91e
nyagujarati,a9e
nyagurmukhi,a1e
o,6f
oacute,f3
oangthai,e2d
obarred,275
obarredcyrillic,4e9
obarreddieresiscyrillic,4eb
obengali,993
obopomofo,311b
obreve,14f
ocandradeva,911
ocandragujarati,a91
ocandravowelsigndeva,949
ocandravowelsigngujarati,ac9
ocaron,1d2
ocircle,24de
ocircumflex,f4
ocircumflexacute,1ed1
ocircumflexdotbelow,1ed9
ocircumflexgrave,1ed3
ocircumflexhookabove,1ed5
ocircumflextilde,1ed7
ocyrillic,43e
odblacute,151
odblgrave,20d
odeva,913
odieresis,f6
odieresiscyrillic,4e7
odotbelow,1ecd
oe,153
oekorean,315a
ogonek,2db
ogonekcmb,328
ograve,f2
ogujarati,a93
oharmenian,585
ohiragana,304a
ohookabove,1ecf
ohorn,1a1
ohornacute,1edb
ohorndotbelow,1ee3
ohorngrave,1edd
ohornhookabove,1edf
ohorntilde,1ee1
ohungarumlaut,151
oi,1a3
oinvertedbreve,20f
okatakana,30aa
okatakanahalfwidth,ff75
okorean,3157
olehebrew,5ab
omacron,14d
omacronacute,1e53
omacrongrave,1e51
omdeva,950
omega,3c9
omega1,3d6
omegacyrillic,461
omegalatinclosed,277
omegaroundcyrillic,47b
omegatitlocyrillic,47d
omegatonos,3ce
omgujarati,ad0
omicron,3bf
omicrontonos,3cc
omonospace,ff4f
one,31
onearabic,661
onebengali,9e7
onecircle,2460
onecircleinversesansserif,278a
onedeva,967
onedotenleader,2024
oneeighth,215b
onefitted,f6dc
onegujarati,ae7
onegurmukhi,a67
onehackarabic,661
onehalf,bd
onehangzhou,3021
oneideographicparen,3220
oneinferior,2081
onemonospace,ff11
onenumeratorbengali,9f4
oneoldstyle,f731
oneparen,2474
oneperiod,2488
onepersian,6f1
onequarter,bc
oneroman,2170
onesuperior,b9
onethai,e51
onethird,2153
oogonek,1eb
oogonekmacron,1ed
oogurmukhi,a13
oomatragurmukhi,a4b
oopen,254
oparen,24aa
openbullet,25e6
option,2325
ordfeminine,aa
ordmasculine,ba
orthogonal,221f
oshortdeva,912
oshortvowelsigndeva,94a
oslash,f8
oslashacute,1ff
osmallhiragana,3049
osmallkatakana,30a9
osmallkatakanahalfwidth,ff6b
ostrokeacute,1ff
osuperior,f6f0
otcyrillic,47f
otilde,f5
otildeacute,1e4d
otildedieresis,1e4f
oubopomofo,3121
overline,203e
overlinecenterline,fe4a
overlinecmb,305
overlinedashed,fe49
overlinedblwavy,fe4c
overlinewavy,fe4b
overscore,af
ovowelsignbengali,9cb
ovowelsigndeva,94b
ovowelsigngujarati,acb
p,70
paampssquare,3380
paasentosquare,332b
pabengali,9aa
pacute,1e55
padeva,92a
pagedown,21df
pageup,21de
pagujarati,aaa
pagurmukhi,a2a
pahiragana,3071
paiyannoithai,e2f
pakatakana,30d1
palatalizationcyrilliccmb,484
palochkacyrillic,4c0
pansioskorean,317f
paragraph,b6
parallel,2225
parenleft,28
parenleftaltonearabic,fd3e
parenleftbt,f8ed
parenleftex,f8ec
parenleftinferior,208d
parenleftmonospace,ff08
parenleftsmall,fe59
parenleftsuperior,207d
parenlefttp,f8eb
parenleftvertical,fe35
parenright,29
parenrightaltonearabic,fd3f
parenrightbt,f8f8
parenrightex,f8f7
parenrightinferior,208e
parenrightmonospace,ff09
parenrightsmall,fe5a
parenrightsuperior,207e
parenrighttp,f8f6
parenrightvertical,fe36
partialdiff,2202
paseqhebrew,5c0
pashtahebrew,599
pasquare,33a9
patah,5b7
patah11,5b7
patah1d,5b7
patah2a,5b7
patahhebrew,5b7
patahnarrowhebrew,5b7
patahquarterhebrew,5b7
patahwidehebrew,5b7
pazerhebrew,5a1
pbopomofo,3106
pcircle,24df
pdotaccent,1e57
pe,5e4
pecyrillic,43f
pedagesh,fb44
pedageshhebrew,fb44
peezisquare,333b
pefinaldageshhebrew,fb43
peharabic,67e
peharmenian,57a
pehebrew,5e4
pehfinalarabic,fb57
pehinitialarabic,fb58
pehiragana,307a
pehmedialarabic,fb59
pekatakana,30da
pemiddlehookcyrillic,4a7
perafehebrew,fb4e
percent,25
percentarabic,66a
percentmonospace,ff05
percentsmall,fe6a
period,2e
periodarmenian,589
periodcentered,b7
periodhalfwidth,ff61
periodinferior,f6e7
periodmonospace,ff0e
periodsmall,fe52
periodsuperior,f6e8
perispomenigreekcmb,342
perpendicular,22a5
perthousand,2030
peseta,20a7
pfsquare,338a
phabengali,9ab
phadeva,92b
phagujarati,aab
phagurmukhi,a2b
phi,3c6
phi1,3d5
phieuphacirclekorean,327a
phieuphaparenkorean,321a
phieuphcirclekorean,326c
phieuphkorean,314d
phieuphparenkorean,320c
philatin,278
phinthuthai,e3a
phisymbolgreek,3d5
phook,1a5
phophanthai,e1e
phophungthai,e1c
phosamphaothai,e20
pi,3c0
pieupacirclekorean,3273
pieupaparenkorean,3213
pieupcieuckorean,3176
pieupcirclekorean,3265
pieupkiyeokkorean,3172
pieupkorean,3142
pieupparenkorean,3205
pieupsioskiyeokkorean,3174
pieupsioskorean,3144
pieupsiostikeutkorean,3175
pieupthieuthkorean,3177
pieuptikeutkorean,3173
pihiragana,3074
pikatakana,30d4
pisymbolgreek,3d6
piwrarmenian,583
plus,2b
plusbelowcmb,31f
pluscircle,2295
plusminus,b1
plusmod,2d6
plusmonospace,ff0b
plussmall,fe62
plussuperior,207a
pmonospace,ff50
pmsquare,33d8
pohiragana,307d
pointingindexdownwhite,261f
pointingindexleftwhite,261c
pointingindexrightwhite,261e
pointingindexupwhite,261d
pokatakana,30dd
poplathai,e1b
postalmark,3012
postalmarkface,3020
pparen,24ab
precedes,227a
prescription,211e
primemod,2b9
primereversed,2035
product,220f
projective,2305
prolongedkana,30fc
propellor,2318
propersubset,2282
propersuperset,2283
proportion,2237
proportional,221d
psi,3c8
psicyrillic,471
psilipneumatacyrilliccmb,486
pssquare,33b0
puhiragana,3077
pukatakana,30d7
pvsquare,33b4
pwsquare,33ba
q,71
qadeva,958
qadmahebrew,5a8
qafarabic,642
qaffinalarabic,fed6
qafinitialarabic,fed7
qafmedialarabic,fed8
qamats,5b8
qamats10,5b8
qamats1a,5b8
qamats1c,5b8
qamats27,5b8
qamats29,5b8
qamats33,5b8
qamatsde,5b8
qamatshebrew,5b8
qamatsnarrowhebrew,5b8
qamatsqatanhebrew,5b8
qamatsqatannarrowhebrew,5b8
qamatsqatanquarterhebrew,5b8
qamatsqatanwidehebrew,5b8
qamatsquarterhebrew,5b8
qamatswidehebrew,5b8
qarneyparahebrew,59f
qbopomofo,3111
qcircle,24e0
qhook,2a0
qmonospace,ff51
qof,5e7
qofdagesh,fb47
qofdageshhebrew,fb47
qofhebrew,5e7
qparen,24ac
quarternote,2669
qubuts,5bb
qubuts18,5bb
qubuts25,5bb
qubuts31,5bb
qubutshebrew,5bb
qubutsnarrowhebrew,5bb
qubutsquarterhebrew,5bb
qubutswidehebrew,5bb
question,3f
questionarabic,61f
questionarmenian,55e
questiondown,bf
questiondownsmall,f7bf
questiongreek,37e
questionmonospace,ff1f
questionsmall,f73f
quotedbl,22
quotedblbase,201e
quotedblleft,201c
quotedblmonospace,ff02
quotedblprime,301e
quotedblprimereversed,301d
quotedblright,201d
quoteleft,2018
quoteleftreversed,201b
quotereversed,201b
quoteright,2019
quoterightn,149
quotesinglbase,201a
quotesingle,27
quotesinglemonospace,ff07
r,72
raarmenian,57c
rabengali,9b0
racute,155
radeva,930
radical,221a
radicalex,f8e5
radoverssquare,33ae
radoverssquaredsquare,33af
radsquare,33ad
rafe,5bf
rafehebrew,5bf
ragujarati,ab0
ragurmukhi,a30
rahiragana,3089
rakatakana,30e9
rakatakanahalfwidth,ff97
ralowerdiagonalbengali,9f1
ramiddlediagonalbengali,9f0
ramshorn,264
ratio,2236
rbopomofo,3116
rcaron,159
rcedilla,157
rcircle,24e1
rcommaaccent,157
rdblgrave,211
rdotaccent,1e59
rdotbelow,1e5b
rdotbelowmacron,1e5d
referencemark,203b
reflexsubset,2286
reflexsuperset,2287
registered,ae
registersans,f8e8
registerserif,f6da
reharabic,631
reharmenian,580
rehfinalarabic,feae
rehiragana,308c
rekatakana,30ec
rekatakanahalfwidth,ff9a
resh,5e8
reshdageshhebrew,fb48
reshhebrew,5e8
reversedtilde,223d
reviahebrew,597
reviamugrashhebrew,597
revlogicalnot,2310
rfishhook,27e
rfishhookreversed,27f
rhabengali,9dd
rhadeva,95d
rho,3c1
rhook,27d
rhookturned,27b
rhookturnedsuperior,2b5
rhosymbolgreek,3f1
rhotichookmod,2de
rieulacirclekorean,3271
rieulaparenkorean,3211
rieulcirclekorean,3263
rieulhieuhkorean,3140
rieulkiyeokkorean,313a
rieulkiyeoksioskorean,3169
rieulkorean,3139
rieulmieumkorean,313b
rieulpansioskorean,316c
rieulparenkorean,3203
rieulphieuphkorean,313f
rieulpieupkorean,313c
rieulpieupsioskorean,316b
rieulsioskorean,313d
rieulthieuthkorean,313e
rieultikeutkorean,316a
rieulyeorinhieuhkorean,316d
rightangle,221f
righttackbelowcmb,319
righttriangle,22bf
rihiragana,308a
rikatakana,30ea
rikatakanahalfwidth,ff98
ring,2da
ringbelowcmb,325
ringcmb,30a
ringhalfleft,2bf
ringhalfleftarmenian,559
ringhalfleftbelowcmb,31c
ringhalfleftcentered,2d3
ringhalfright,2be
ringhalfrightbelowcmb,339
ringhalfrightcentered,2d2
rinvertedbreve,213
rittorusquare,3351
rlinebelow,1e5f
rlongleg,27c
rlonglegturned,27a
rmonospace,ff52
rohiragana,308d
rokatakana,30ed
rokatakanahalfwidth,ff9b
roruathai,e23
rparen,24ad
rrabengali,9dc
rradeva,931
rragurmukhi,a5c
rreharabic,691
rrehfinalarabic,fb8d
rrvocalicbengali,9e0
rrvocalicdeva,960
rrvocalicgujarati,ae0
rrvocalicvowelsignbengali,9c4
rrvocalicvowelsigndeva,944
rrvocalicvowelsigngujarati,ac4
rsuperior,f6f1
rtblock,2590
rturned,279
rturnedsuperior,2b4
ruhiragana,308b
rukatakana,30eb
rukatakanahalfwidth,ff99
rupeemarkbengali,9f2
rupeesignbengali,9f3
rupiah,f6dd
ruthai,e24
rvocalicbengali,98b
rvocalicdeva,90b
rvocalicgujarati,a8b
rvocalicvowelsignbengali,9c3
rvocalicvowelsigndeva,943
rvocalicvowelsigngujarati,ac3
s,73
sabengali,9b8
sacute,15b
sacutedotaccent,1e65
sadarabic,635
sadeva,938
sadfinalarabic,feba
sadinitialarabic,febb
sadmedialarabic,febc
sagujarati,ab8
sagurmukhi,a38
sahiragana,3055
sakatakana,30b5
sakatakanahalfwidth,ff7b
sallallahoualayhewasallamarabic,fdfa
samekh,5e1
samekhdagesh,fb41
samekhdageshhebrew,fb41
samekhhebrew,5e1
saraaathai,e32
saraaethai,e41
saraaimaimalaithai,e44
saraaimaimuanthai,e43
saraamthai,e33
saraathai,e30
saraethai,e40
saraiileftthai,f886
saraiithai,e35
saraileftthai,f885
saraithai,e34
saraothai,e42
saraueeleftthai,f888
saraueethai,e37
saraueleftthai,f887
sarauethai,e36
sarauthai,e38
sarauuthai,e39
sbopomofo,3119
scaron,161
scarondotaccent,1e67
scedilla,15f
schwa,259
schwacyrillic,4d9
schwadieresiscyrillic,4db
schwahook,25a
scircle,24e2
scircumflex,15d
scommaaccent,219
sdotaccent,1e61
sdotbelow,1e63
sdotbelowdotaccent,1e69
seagullbelowcmb,33c
second,2033
secondtonechinese,2ca
section,a7
seenarabic,633
seenfinalarabic,feb2
seeninitialarabic,feb3
seenmedialarabic,feb4
segol,5b6
segol13,5b6
segol1f,5b6
segol2c,5b6
segolhebrew,5b6
segolnarrowhebrew,5b6
segolquarterhebrew,5b6
segoltahebrew,592
segolwidehebrew,5b6
seharmenian,57d
sehiragana,305b
sekatakana,30bb
sekatakanahalfwidth,ff7e
semicolon,3b
semicolonarabic,61b
semicolonmonospace,ff1b
semicolonsmall,fe54
semivoicedmarkkana,309c
semivoicedmarkkanahalfwidth,ff9f
sentisquare,3322
sentosquare,3323
seven,37
sevenarabic,667
sevenbengali,9ed
sevencircle,2466
sevencircleinversesansserif,2790
sevendeva,96d
seveneighths,215e
sevengujarati,aed
sevengurmukhi,a6d
sevenhackarabic,667
sevenhangzhou,3027
sevenideographicparen,3226
seveninferior,2087
sevenmonospace,ff17
sevenoldstyle,f737
sevenparen,247a
sevenperiod,248e
sevenpersian,6f7
sevenroman,2176
sevensuperior,2077
seventeencircle,2470
seventeenparen,2484
seventeenperiod,2498
seventhai,e57
sfthyphen,ad
shaarmenian,577
shabengali,9b6
shacyrillic,448
shaddaarabic,651
shaddadammaarabic,fc61
shaddadammatanarabic,fc5e
shaddafathaarabic,fc60
shaddakasraarabic,fc62
shaddakasratanarabic,fc5f
shade,2592
shadedark,2593
shadelight,2591
shademedium,2592
shadeva,936
shagujarati,ab6
shagurmukhi,a36
shalshelethebrew,593
shbopomofo,3115
shchacyrillic,449
sheenarabic,634
sheenfinalarabic,feb6
sheeninitialarabic,feb7
sheenmedialarabic,feb8
sheicoptic,3e3
sheqel,20aa
sheqelhebrew,20aa
sheva,5b0
sheva115,5b0
sheva15,5b0
sheva22,5b0
sheva2e,5b0
shevahebrew,5b0
shevanarrowhebrew,5b0
shevaquarterhebrew,5b0
shevawidehebrew,5b0
shhacyrillic,4bb
shimacoptic,3ed
shin,5e9
shindagesh,fb49
shindageshhebrew,fb49
shindageshshindot,fb2c
shindageshshindothebrew,fb2c
shindageshsindot,fb2d
shindageshsindothebrew,fb2d
shindothebrew,5c1
shinhebrew,5e9
shinshindot,fb2a
shinshindothebrew,fb2a
shinsindot,fb2b
shinsindothebrew,fb2b
shook,282
sigma,3c3
sigma1,3c2
sigmafinal,3c2
sigmalunatesymbolgreek,3f2
sihiragana,3057
sikatakana,30b7
sikatakanahalfwidth,ff7c
siluqhebrew,5bd
siluqlefthebrew,5bd
similar,223c
sindothebrew,5c2
siosacirclekorean,3274
siosaparenkorean,3214
sioscieuckorean,317e
sioscirclekorean,3266
sioskiyeokkorean,317a
sioskorean,3145
siosnieunkorean,317b
siosparenkorean,3206
siospieupkorean,317d
siostikeutkorean,317c
six,36
sixarabic,666
sixbengali,9ec
sixcircle,2465
sixcircleinversesansserif,278f
sixdeva,96c
sixgujarati,aec
sixgurmukhi,a6c
sixhackarabic,666
sixhangzhou,3026
sixideographicparen,3225
sixinferior,2086
sixmonospace,ff16
sixoldstyle,f736
sixparen,2479
sixperiod,248d
sixpersian,6f6
sixroman,2175
sixsuperior,2076
sixteencircle,246f
sixteencurrencydenominatorbengali,9f9
sixteenparen,2483
sixteenperiod,2497
sixthai,e56
slash,2f
slashmonospace,ff0f
slong,17f
slongdotaccent,1e9b
smileface,263a
smonospace,ff53
sofpasuqhebrew,5c3
softhyphen,ad
softsigncyrillic,44c
sohiragana,305d
sokatakana,30bd
sokatakanahalfwidth,ff7f
soliduslongoverlaycmb,338
solidusshortoverlaycmb,337
sorusithai,e29
sosalathai,e28
sosothai,e0b
sosuathai,e2a
space,20
spacehackarabic,20
spade,2660
spadesuitblack,2660
spadesuitwhite,2664
sparen,24ae
squarebelowcmb,33b
squarecc,33c4
squarecm,339d
squarediagonalcrosshatchfill,25a9
squarehorizontalfill,25a4
squarekg,338f
squarekm,339e
squarekmcapital,33ce
squareln,33d1
squarelog,33d2
squaremg,338e
squaremil,33d5
squaremm,339c
squaremsquared,33a1
squareorthogonalcrosshatchfill,25a6
squareupperlefttolowerrightfill,25a7
squareupperrighttolowerleftfill,25a8
squareverticalfill,25a5
squarewhitewithsmallblack,25a3
srsquare,33db
ssabengali,9b7
ssadeva,937
ssagujarati,ab7
ssangcieuckorean,3149
ssanghieuhkorean,3185
ssangieungkorean,3180
ssangkiyeokkorean,3132
ssangnieunkorean,3165
ssangpieupkorean,3143
ssangsioskorean,3146
ssangtikeutkorean,3138
ssuperior,f6f2
sterling,a3
sterlingmonospace,ffe1
strokelongoverlaycmb,336
strokeshortoverlaycmb,335
subset,2282
subsetnotequal,228a
subsetorequal,2286
succeeds,227b
suchthat,220b
suhiragana,3059
sukatakana,30b9
sukatakanahalfwidth,ff7d
sukunarabic,652
summation,2211
sun,263c
superset,2283
supersetnotequal,228b
supersetorequal,2287
svsquare,33dc
syouwaerasquare,337c
t,74
tabengali,9a4
tackdown,22a4
tackleft,22a3
tadeva,924
tagujarati,aa4
tagurmukhi,a24
taharabic,637
tahfinalarabic,fec2
tahinitialarabic,fec3
tahiragana,305f
tahmedialarabic,fec4
taisyouerasquare,337d
takatakana,30bf
takatakanahalfwidth,ff80
tatweelarabic,640
tau,3c4
tav,5ea
tavdages,fb4a
tavdagesh,fb4a
tavdageshhebrew,fb4a
tavhebrew,5ea
tbar,167
tbopomofo,310a
tcaron,165
tccurl,2a8
tcedilla,163
tcheharabic,686
tchehfinalarabic,fb7b
tchehinitialarabic,fb7c
tchehmedialarabic,fb7d
tcircle,24e3
tcircumflexbelow,1e71
tcommaaccent,163
tdieresis,1e97
tdotaccent,1e6b
tdotbelow,1e6d
tecyrillic,442
tedescendercyrillic,4ad
teharabic,62a
tehfinalarabic,fe96
tehhahinitialarabic,fca2
tehhahisolatedarabic,fc0c
tehinitialarabic,fe97
tehiragana,3066
tehjeeminitialarabic,fca1
tehjeemisolatedarabic,fc0b
tehmarbutaarabic,629
tehmarbutafinalarabic,fe94
tehmedialarabic,fe98
tehmeeminitialarabic,fca4
tehmeemisolatedarabic,fc0e
tehnoonfinalarabic,fc73
tekatakana,30c6
tekatakanahalfwidth,ff83
telephone,2121
telephoneblack,260e
telishagedolahebrew,5a0
telishaqetanahebrew,5a9
tencircle,2469
tenideographicparen,3229
tenparen,247d
tenperiod,2491
tenroman,2179
tesh,2a7
tet,5d8
tetdagesh,fb38
tetdageshhebrew,fb38
tethebrew,5d8
tetsecyrillic,4b5
tevirhebrew,59b
tevirlefthebrew,59b
thabengali,9a5
thadeva,925
thagujarati,aa5
thagurmukhi,a25
thalarabic,630
thalfinalarabic,feac
thanthakhatlowleftthai,f898
thanthakhatlowrightthai,f897
thanthakhatthai,e4c
thanthakhatupperleftthai,f896
theharabic,62b
thehfinalarabic,fe9a
thehinitialarabic,fe9b
thehmedialarabic,fe9c
thereexists,2203
therefore,2234
theta,3b8
theta1,3d1
thetasymbolgreek,3d1
thieuthacirclekorean,3279
thieuthaparenkorean,3219
thieuthcirclekorean,326b
thieuthkorean,314c
thieuthparenkorean,320b
thirteencircle,246c
thirteenparen,2480
thirteenperiod,2494
thonangmonthothai,e11
thook,1ad
thophuthaothai,e12
thorn,fe
thothahanthai,e17
thothanthai,e10
thothongthai,e18
thothungthai,e16
thousandcyrillic,482
thousandsseparatorarabic,66c
thousandsseparatorpersian,66c
three,33
threearabic,663
threebengali,9e9
threecircle,2462
threecircleinversesansserif,278c
threedeva,969
threeeighths,215c
threegujarati,ae9
threegurmukhi,a69
threehackarabic,663
threehangzhou,3023
threeideographicparen,3222
threeinferior,2083
threemonospace,ff13
threenumeratorbengali,9f6
threeoldstyle,f733
threeparen,2476
threeperiod,248a
threepersian,6f3
threequarters,be
threequartersemdash,f6de
threeroman,2172
threesuperior,b3
threethai,e53
thzsquare,3394
tihiragana,3061
tikatakana,30c1
tikatakanahalfwidth,ff81
tikeutacirclekorean,3270
tikeutaparenkorean,3210
tikeutcirclekorean,3262
tikeutkorean,3137
tikeutparenkorean,3202
tilde,2dc
tildebelowcmb,330
tildecmb,303
tildecomb,303
tildedoublecmb,360
tildeoperator,223c
tildeoverlaycmb,334
tildeverticalcmb,33e
timescircle,2297
tipehahebrew,596
tipehalefthebrew,596
tippigurmukhi,a70
titlocyrilliccmb,483
tiwnarmenian,57f
tlinebelow,1e6f
tmonospace,ff54
toarmenian,569
tohiragana,3068
tokatakana,30c8
tokatakanahalfwidth,ff84
tonebarextrahighmod,2e5
tonebarextralowmod,2e9
tonebarhighmod,2e6
tonebarlowmod,2e8
tonebarmidmod,2e7
tonefive,1bd
tonesix,185
tonetwo,1a8
tonos,384
tonsquare,3327
topatakthai,e0f
tortoiseshellbracketleft,3014
tortoiseshellbracketleftsmall,fe5d
tortoiseshellbracketleftvertical,fe39
tortoiseshellbracketright,3015
tortoiseshellbracketrightsmall,fe5e
tortoiseshellbracketrightvertical,fe3a
totaothai,e15
tpalatalhook,1ab
tparen,24af
trademark,2122
trademarksans,f8ea
trademarkserif,f6db
tretroflexhook,288
triagdn,25bc
triaglf,25c4
triagrt,25ba
triagup,25b2
ts,2a6
tsadi,5e6
tsadidagesh,fb46
tsadidageshhebrew,fb46
tsadihebrew,5e6
tsecyrillic,446
tsere,5b5
tsere12,5b5
tsere1e,5b5
tsere2b,5b5
tserehebrew,5b5
tserenarrowhebrew,5b5
tserequarterhebrew,5b5
tserewidehebrew,5b5
tshecyrillic,45b
tsuperior,f6f3
ttabengali,99f
ttadeva,91f
ttagujarati,a9f
ttagurmukhi,a1f
tteharabic,679
ttehfinalarabic,fb67
ttehinitialarabic,fb68
ttehmedialarabic,fb69
tthabengali,9a0
tthadeva,920
tthagujarati,aa0
tthagurmukhi,a20
tturned,287
tuhiragana,3064
tukatakana,30c4
tukatakanahalfwidth,ff82
tusmallhiragana,3063
tusmallkatakana,30c3
tusmallkatakanahalfwidth,ff6f
twelvecircle,246b
twelveparen,247f
twelveperiod,2493
twelveroman,217b
twentycircle,2473
twentyhangzhou,5344
twentyparen,2487
twentyperiod,249b
two,32
twoarabic,662
twobengali,9e8
twocircle,2461
twocircleinversesansserif,278b
twodeva,968
twodotenleader,2025
twodotleader,2025
twodotleadervertical,fe30
twogujarati,ae8
twogurmukhi,a68
twohackarabic,662
twohangzhou,3022
twoideographicparen,3221
twoinferior,2082
twomonospace,ff12
twonumeratorbengali,9f5
twooldstyle,f732
twoparen,2475
twoperiod,2489
twopersian,6f2
tworoman,2171
twostroke,1bb
twosuperior,b2
twothai,e52
twothirds,2154
u,75
uacute,fa
ubar,289
ubengali,989
ubopomofo,3128
ubreve,16d
ucaron,1d4
ucircle,24e4
ucircumflex,fb
ucircumflexbelow,1e77
ucyrillic,443
udattadeva,951
udblacute,171
udblgrave,215
udeva,909
udieresis,fc
udieresisacute,1d8
udieresisbelow,1e73
udieresiscaron,1da
udieresiscyrillic,4f1
udieresisgrave,1dc
udieresismacron,1d6
udotbelow,1ee5
ugrave,f9
ugujarati,a89
ugurmukhi,a09
uhiragana,3046
uhookabove,1ee7
uhorn,1b0
uhornacute,1ee9
uhorndotbelow,1ef1
uhorngrave,1eeb
uhornhookabove,1eed
uhorntilde,1eef
uhungarumlaut,171
uhungarumlautcyrillic,4f3
uinvertedbreve,217
ukatakana,30a6
ukatakanahalfwidth,ff73
ukcyrillic,479
ukorean,315c
umacron,16b
umacroncyrillic,4ef
umacrondieresis,1e7b
umatragurmukhi,a41
umonospace,ff55
underscore,5f
underscoredbl,2017
underscoremonospace,ff3f
underscorevertical,fe33
underscorewavy,fe4f
union,222a
universal,2200
uogonek,173
uparen,24b0
upblock,2580
upperdothebrew,5c4
upsilon,3c5
upsilondieresis,3cb
upsilondieresistonos,3b0
upsilonlatin,28a
upsilontonos,3cd
uptackbelowcmb,31d
uptackmod,2d4
uragurmukhi,a73
uring,16f
ushortcyrillic,45e
usmallhiragana,3045
usmallkatakana,30a5
usmallkatakanahalfwidth,ff69
ustraightcyrillic,4af
ustraightstrokecyrillic,4b1
utilde,169
utildeacute,1e79
utildebelow,1e75
uubengali,98a
uudeva,90a
uugujarati,a8a
uugurmukhi,a0a
uumatragurmukhi,a42
uuvowelsignbengali,9c2
uuvowelsigndeva,942
uuvowelsigngujarati,ac2
uvowelsignbengali,9c1
uvowelsigndeva,941
uvowelsigngujarati,ac1
v,76
vadeva,935
vagujarati,ab5
vagurmukhi,a35
vakatakana,30f7
vav,5d5
vavdagesh,fb35
vavdagesh65,fb35
vavdageshhebrew,fb35
vavhebrew,5d5
vavholam,fb4b
vavholamhebrew,fb4b
vavvavhebrew,5f0
vavyodhebrew,5f1
vcircle,24e5
vdotbelow,1e7f
vecyrillic,432
veharabic,6a4
vehfinalarabic,fb6b
vehinitialarabic,fb6c
vehmedialarabic,fb6d
vekatakana,30f9
venus,2640

#verticalbar,7c

verticallineabovecmb,30d
verticallinebelowcmb,329
verticallinelowmod,2cc
verticallinemod,2c8
vewarmenian,57e
vhook,28b
vikatakana,30f8
viramabengali,9cd
viramadeva,94d
viramagujarati,acd
visargabengali,983
visargadeva,903
visargagujarati,a83
vmonospace,ff56
voarmenian,578
voicediterationhiragana,309e
voicediterationkatakana,30fe
voicedmarkkana,309b
voicedmarkkanahalfwidth,ff9e
vokatakana,30fa
vparen,24b1
vtilde,1e7d
vturned,28c
vuhiragana,3094
vukatakana,30f4
w,77
wacute,1e83
waekorean,3159
wahiragana,308f
wakatakana,30ef
wakatakanahalfwidth,ff9c
wakorean,3158
wasmallhiragana,308e
wasmallkatakana,30ee
wattosquare,3357
wavedash,301c
wavyunderscorevertical,fe34
wawarabic,648
wawfinalarabic,feee
wawhamzaabovearabic,624
wawhamzaabovefinalarabic,fe86
wbsquare,33dd
wcircle,24e6
wcircumflex,175
wdieresis,1e85
wdotaccent,1e87
wdotbelow,1e89
wehiragana,3091
weierstrass,2118
wekatakana,30f1
wekorean,315e
weokorean,315d
wgrave,1e81
whitebullet,25e6
whitecircle,25cb
whitecircleinverse,25d9
whitecornerbracketleft,300e
